movie_id,category_id,nomination_number,won
1,1,1,0
2,1,1,0
2,4,1,0
2,6,1,0
2,7,1,0
2,8,1,0
2,9,1,0
2,16,1,0
2,19,1,0
2,20,1,0
2,22,1,0
3,1,1,0
3,7,1,0
3,9,1,0
3,12,1,1
3,14,1,1
3,16,1,0
3,19,1,0
3,22,1,1
4,1,1,1
4,2,1,0
4,4,1,0
4,6,1,0
4,7,1,0
4,8,1,0
4,9,1,1
4,12,1,0
4,14,1,0
4,16,1,1
4,19,1,0
4,22,1,1
5,1,1,0
5,12,1,0
5,14,1,0
5,15,1,0
5,16,1,0
5,22,1,0
6,2,1,1
6,4,1,1
6,4,2,0
6,9,1,0
6,12,1,0
6,16,1,0
6,22,1,0
7,2,1,0
7,3,1,0
7,16,1,0
7,22,1,0
8,2,1,0
9,2,1,0
9,3,1,0
9,16,1,0
9,22,1,0
10,3,1,0
11,3,1,1
11,7,1,0
11,9,1,0
11,12,1,0
11,16,1,0
12,3,1,0
13,4,1,0
14,5,1,0
14,14,1,0
15,5,1,0
16,5,1,1
16,15,1,1
16,16,1,0
16,20,1,0
16,22,1,0
17,6,1,1
17,8,1,1
17,21,1,0
18,6,1,0
18,21,1,0
19,6,1,0
19,7,1,1
19,14,1,0
19,16,1,0
19,19,1,1
19,20,1,1
19,21,1,1
19,22,1,0
20,8,1,0
21,8,1,0
22,10,1,0
23,10,1,0
24,10,1,1
25,10,1,0
26,10,1,0
27,11,1,0
28,11,1,0
29,11,1,1
30,11,1,0
31,11,1,0
32,13,1,0
33,13,1,0
34,13,1,1
35,15,1,0
36,15,1,0
37,17,1,0
38,17,1,0
39,17,1,0
40,17,1,1
41,17,1,0
42,18,1,0
43,18,1,0
44,18,1,1
45,18,1,0
46,18,1,0
47,19,1,0
48,20,1,0
49,20,1,0
50,21,1,0
51,21,1,0
52,22,1,0
53,1,1,1
53,4,1,0
53,15,1,1
54,1,1,0
54,4,1,0
54,4,2,0
54,9,1,0
54,16,1,0
54,22,1,0
55,1,1,0
56,1,1,0
56,2,1,0
57,1,1,0
57,7,1,0
57,9,1,1
57,12,1,1
57,14,1,0
57,16,1,1
57,19,1,1
57,20,1,1
57,22,1,1
58,2,1,0
58,22,1,0
59,2,1,0
59,3,1,0
60,2,1,0
61,2,1,1
61,7,1,0
61,9,1,0
61,12,1,0
61,16,1,0
61,19,1,0
61,20,1,0
61,22,1,0
62,3,1,1
62,16,1,0
63,3,1,0
63,16,1,0
63,22,1,0
64,3,1,0
64,4,1,1
64,9,1,0
64,12,1,0
64,16,1,0
64,22,1,1
65,3,1,0
66,4,1,0
66,6,1,0
66,8,1,0
66,15,1,0
67,5,1,0
68,5,1,0
68,14,1,0
69,5,1,0
69,15,1,0
69,15,2,0
70,5,1,0
71,5,1,1
71,14,1,1
71,16,1,0
71,20,1,0
71,22,1,0
72,6,1,1
72,7,1,1
72,9,1,0
72,12,1,0
72,14,1,0
72,16,1,0
72,19,1,0
72,20,1,0
72,21,1,1
73,6,1,0
73,8,1,0
74,6,1,0
74,14,1,0
75,6,1,0
75,8,1,1
75,13,1,0
76,7,1,0
77,7,1,0
78,8,1,0
79,8,1,0
80,10,1,0
81,10,1,1
82,10,1,0
83,10,1,0
84,10,1,0
85,11,1,0
86,11,1,0
87,11,1,0
88,11,1,1
89,11,1,0
90,12,1,0
90,16,1,0
90,21,1,0
90,22,1,0
91,13,1,0
92,13,1,1
92,19,1,0
92,20,1,0
92,21,1,0
93,15,1,0
94,16,1,0
94,22,1,0
95,17,1,0
96,17,1,0
97,17,1,0
98,17,1,1
99,17,1,0
100,18,1,0
101,18,1,0
102,18,1,0
103,18,1,0
104,18,1,1
105,19,1,0
106,22,1,0
107,1,1,0
108,1,1,0
108,9,1,0
108,12,1,0
108,16,1,0
108,22,1,0
109,1,1,1
109,2,1,0
109,8,1,0
109,9,1,0
109,12,1,0
109,14,1,0
109,16,1,0
109,22,1,1
110,1,1,0
110,4,1,0
110,6,1,1
110,7,1,0
110,8,1,0
110,9,1,0
110,12,1,0
110,13,1,1
110,14,1,0
110,16,1,0
110,19,1,0
110,21,1,1
110,22,1,0
111,1,1,0
111,4,1,0
112,2,1,0
113,2,1,0
113,3,1,0
113,4,1,0
113,4,2,0
113,22,1,0
114,2,1,1
114,6,1,0
114,7,1,0
114,12,1,0
114,13,1,0
114,19,1,0
114,20,1,1
114,21,1,0
115,2,1,0
115,6,1,0
115,8,1,0
116,3,1,0
117,3,1,0
117,6,1,0
117,7,1,0
118,3,1,0
118,22,1,0
119,3,1,1
119,7,1,0
119,9,1,0
119,16,1,0
119,22,1,0
120,4,1,1
121,5,1,0
122,5,1,0
123,5,1,1
123,14,1,0
123,15,1,0
123,19,1,0
123,20,1,0
123,22,1,0
124,6,1,0
124,8,1,1
125,7,1,1
125,9,1,1
125,12,1,1
125,14,1,1
125,15,1,0
125,15,2,1
125,16,1,1
125,19,1,1
125,20,1,0
125,22,1,1
126,8,1,0
127,10,1,0
128,10,1,0
129,10,1,0
130,10,1,1
131,10,1,0
132,11,1,0
133,11,1,0
134,11,1,1
135,11,1,0
136,13,1,0
137,14,1,0
138,17,1,1
139,17,1,0
140,17,1,0
141,17,1,0
142,17,1,0
143,18,1,0
144,18,1,0
145,18,1,0
146,18,1,0
147,18,1,1
148,19,1,0
148,20,1,0
149,20,1,0
149,21,1,0
150,22,1,0
151,22,1,0
152,1,1,0
152,2,1,0
152,4,1,1
152,9,1,0
152,14,1,0
152,16,1,0
152,22,1,0
153,1,1,1
153,6,1,0
153,7,1,1
153,9,1,0
153,12,1,0
153,16,1,0
153,20,1,0
153,22,1,0
154,1,1,0
154,6,1,1
154,8,1,0
155,1,1,0
156,1,1,0
157,2,1,0
157,7,1,0
158,2,1,1
158,7,1,0
158,9,1,1
