category_name
ACTOR -- LEADING ROLE
ACTOR -- SUPPORTING ROLE
ACTRESS -- LEADING ROLE
ACTRESS -- SUPPORTING ROLE
ANIMATED FEATURE FILM
ART DIRECTION
CINEMATOGRAPHY
COSTUME DESIGN
DIRECTING
DOCUMENTARY (FEATURE)
DOCUMENTARY (SHORT SUBJECT)
FILM EDITING
MAKEUP
MUSIC (SCORING)
MUSIC (SONG)
BEST PICTURE
SHORT FILM (ANIMATED)
SHORT FILM (LIVE ACTION)
SOUND
SOUND EDITING
VISUAL EFFECTS
WRITING
DOCUMENTARY (OTHER)
